Quarter,Time,Down,ToGo,Location,LVR,NWE,Detail,EPB,EPA,week,year,game_id
4.0,1:24,2.0,2.0,NWE 47,20.0,10.0,Drake Maye pass incomplete short left intended for Demario Douglas (defended by Maxx Crosby),2.07,1.36,1,2025,8
4.0,1:17,,,,,,Timeout #1 by Las Vegas Raiders,,,1,2025,8
4.0,1:17,3.0,2.0,NWE 47,20.0,10.0,Drake Maye pass incomplete short right,1.36,-0.26,1,2025,8
4.0,1:09,4.0,2.0,NWE 47,20.0,10.0,Drake Maye pass complete short left to Mack Hollins for 3 yards (tackle by Kyu Blu Kelly),-0.26,2.26,1,2025,8
4.0,1:04,1.0,10.0,LVR 50,20.0,10.0,Drake Maye pass complete short middle to Hunter Henry for 12 yards (tackle by Darnay Holmes),2.26,3.05,1,2025,8
4.0,0:42,1.0,10.0,LVR 38,20.0,10.0,Drake Maye pass complete short left to Kyle Williams for 12 yards (tackle by Kyu Blu Kelly),3.05,3.84,1,2025,8
4.0,0:35,1.0,10.0,LVR 26,20.0,10.0,Drake Maye pass incomplete deep left intended for Kayshon Boutte,3.84,3.3,1,2025,8
4.0,0:30,2.0,10.0,LVR 26,20.0,10.0,Drake Maye sacked by Jonah Laulu for no gain,3.3,2.61,1,2025,8
4.0,0:22,3.0,10.0,LVR 26,20.0,13.0,Andres Borregales 44 yard field goal good,2.61,3.0,1,2025,8
4.0,0:19,,,,,,Timeout #2 by Las Vegas Raiders,,,1,2025,8
4.0,0:19,,,NWE 35,20.0,13.0,"Andres Borregales kicks onside 17 yards,. Penalty on Andres Borregales: Kickoff Out of Bounds (accepted)",0.0,2.13,1,2025,8
4.0,0:19,1.0,10.0,LVR 48,20.0,13.0,Geno Smith kneels for -1 yards,2.13,1.45,1,2025,8
